iter	Passed	Remaining
0	0	97
1	2	114
2	3	117
3	4	114
4	6	124
5	8	130
6	10	136
7	12	138
8	13	140
9	15	141
10	17	139
11	18	137
12	20	135
13	21	134
14	23	131
15	25	131
16	26	129
17	27	127
18	29	126
19	31	124
20	32	122
21	34	121
22	35	119
23	36	116
24	38	114
25	39	112
26	40	110
27	42	108
28	43	106
29	45	105
30	46	103
31	47	100
32	48	98
33	49	96
34	51	94
35	52	93
36	53	91
37	55	90
38	56	88
39	58	87
40	60	86
41	60	83
42	62	82
43	63	80
44	64	78
45	65	77
46	67	76
47	68	74
48	69	72
49	70	70
50	71	68
51	72	67
52	74	65
53	75	64
54	75	61
55	76	60
56	77	58
57	78	57
58	80	55
59	81	54
60	81	52
61	82	50
62	83	49
63	84	47
64	85	46
65	86	44
66	87	43
67	88	41
68	89	40
69	90	38
70	91	37
71	92	35
72	93	34
73	93	32
74	94	31
75	95	30
76	96	28
77	97	27
78	97	26
79	98	24
80	99	23
81	100	22
82	101	20
83	101	19
84	102	18
85	103	16
86	104	15
87	105	14
88	105	13
89	106	11
90	107	10
91	108	9
92	109	8
93	109	7
94	110	5
95	111	4
96	112	3
97	113	2
98	114	1
99	114	0
