iter	Passed	Remaining
0	135	135491
1	136	68071
2	137	45676
3	138	34592
4	140	27905
5	142	23544
6	143	20305
7	144	17884
8	145	16072
9	146	14504
10	147	13218
11	147	12154
12	148	11246
13	148	10473
14	149	9800
15	149	9211
16	150	8692
17	150	8234
18	151	7817
19	152	7450
20	152	7117
21	153	6841
22	155	6594
23	156	6349
24	156	6111
25	157	5889
26	157	5686
27	158	5497
28	158	5322
29	159	5157
30	160	5006
31	160	4863
32	161	4726
33	161	4598
34	162	4478
35	162	4364
36	163	4254
37	164	4156
38	164	4059
39	165	3968
40	165	3879
41	166	3794
42	166	3714
43	167	3644
44	168	3576
45	169	3516
46	170	3457
47	171	3395
48	171	3334
49	172	3273
50	172	3216
51	173	3162
52	173	3108
53	174	3058
54	175	3008
55	175	2959
56	176	2913
57	176	2868
58	177	2825
59	177	2784
60	178	2742
61	178	2702
62	179	2664
63	179	2627
64	180	2591
65	180	2558
66	181	2525
67	182	2495
68	182	2465
69	183	2439
70	184	2410
71	184	2382
72	185	2354
73	185	2326
74	186	2299
75	186	2273
76	187	2247
77	188	2222
78	188	2197
79	189	2174
80	189	2150
81	190	2127
82	190	2102
83	190	2080
84	191	2058
85	191	2037
86	192	2018
87	192	1998
88	193	1979
89	193	1960
90	194	1941
91	194	1924
92	195	1906
93	196	1889
94	196	1872
95	197	1858
96	198	1845
97	198	1830
98	199	1814
99	199	1799
100	200	1785
101	201	1770
102	201	1755
103	202	1741
104	202	1727
105	203	1712
106	203	1699
107	204	1687
108	204	1674
109	205	1661
110	205	1648
111	206	1636
112	206	1623
113	207	1611
114	207	1599
115	208	1587
116	208	1575
117	209	1564
118	209	1554
119	210	1544
120	211	1533
121	211	1522
122	212	1513
123	213	1505
124	213	1496
125	214	1487
126	214	1477
127	215	1469
128	216	1459
129	216	1449
130	217	1440
131	217	1431
132	218	1423
133	218	1413
134	219	1405
135	219	1396
136	220	1387
137	220	1379
138	221	1371
139	221	1362
140	222	1354
141	222	1346
142	223	1338
143	223	1331
144	224	1323
145	224	1315
146	225	1308
147	225	1300
148	226	1293
149	227	1287
150	228	1282
151	228	1276
152	229	1270
153	230	1264
154	230	1257
155	231	1250
156	231	1244
157	232	1238
158	232	1232
159	233	1225
160	233	1218
161	234	1212
162	234	1206
163	235	1200
164	236	1194
165	236	1188
166	237	1182
167	237	1176
168	238	1171
169	238	1165
170	239	1160
171	241	1161
172	242	1157
173	242	1153
174	243	1149
175	244	1144
176	245	1139
177	245	1135
178	246	1131
179	247	1126
180	248	1123
181	249	1119
182	249	1114
183	250	1110
184	250	1105
185	251	1100
186	251	1095
187	252	1090
188	252	1085
189	253	1080
190	254	1076
191	254	1072
192	255	1067
193	255	1062
194	256	1057
195	256	1053
196	257	1050
197	258	1046
198	259	1044
199	260	1042
200	261	1038
201	261	1033
202	262	1029
203	262	1025
204	263	1020
205	263	1017
206	264	1012
207	264	1008
208	265	1004
209	265	1000
210	266	996
211	266	991
212	267	987
213	267	984
214	268	980
215	268	976
216	269	972
217	270	968
218	270	964
219	271	961
220	271	957
221	272	953
222	273	952
223	274	950
224	274	946
225	275	943
226	275	939
227	276	936
228	277	933
229	277	930
230	278	926
231	278	922
232	279	919
233	279	916
234	280	912
235	280	909
236	281	905
237	281	902
238	282	899
239	282	895
240	283	892
241	283	889
242	284	886
243	285	883
244	285	880
245	286	877
246	286	873
247	287	871
248	288	869
249	289	867
250	290	865
251	290	863
252	291	861
253	292	858
254	292	855
255	293	852
256	294	850
257	294	847
258	295	844
259	295	841
260	296	838
261	296	836
262	297	832
263	297	830
264	298	827
265	298	824
266	299	821
267	299	818
268	300	815
269	300	813
270	301	810
271	301	807
272	302	804
273	302	802
274	303	800
275	304	799
276	305	796
277	306	794
278	306	792
279	307	790
280	307	787
281	308	784
282	308	782
283	309	779
284	309	777
285	310	775
286	310	772
287	311	770
288	311	767
289	312	765
290	313	762
291	314	762
292	314	760
293	315	757
294	315	755
295	316	752
296	316	750
297	317	747
298	318	746
299	319	744
300	319	742
301	320	741
302	321	738
303	321	736
304	322	734
305	322	732
306	323	730
307	323	727
308	324	725
309	324	723
310	325	721
311	326	719
312	326	717
313	327	714
314	327	712
315	328	710
316	328	708
317	329	706
318	329	704
319	330	702
320	330	699
321	331	698
322	332	696
323	332	694
324	333	693
325	334	691
326	335	690
327	336	688
328	337	687
329	337	685
330	338	683
331	338	681
332	339	679
333	339	677
334	340	675
335	340	673
336	341	672
337	342	670
338	342	668
339	343	666
340	343	664
341	344	662
342	344	660
343	345	658
344	345	656
345	346	654
346	346	652
347	347	650
348	347	648
349	348	646
350	349	645
351	350	644
352	351	643
353	351	642
354	352	640
355	353	638
356	353	636
357	354	634
358	354	633
359	355	631
360	355	629
361	356	627
362	356	626
363	357	624
364	357	622
365	358	620
366	358	619
367	359	617
368	360	615
369	360	613
370	361	612
371	361	610
372	362	608
373	362	606
374	363	605
375	363	603
376	364	602
377	365	601
378	366	600
379	367	598
380	367	597
381	368	596
382	369	595
383	370	593
384	370	592
385	371	590
386	371	589
387	372	587
388	372	585
389	373	584
390	374	582
391	374	581
392	375	579
393	375	577
394	376	576
395	376	574
396	377	573
397	377	571
398	378	570
399	379	569
400	380	568
401	381	567
402	382	566
403	383	565
404	383	563
405	384	562
406	384	560
407	385	559
408	386	558
409	387	557
410	387	555
411	388	554
412	389	553
413	389	551
414	390	550
415	391	549
416	391	547
417	392	546
418	393	545
419	394	544
420	395	543
421	396	542
422	396	541
423	397	539
424	397	538
425	398	536
426	398	535
427	399	533
428	399	532
429	400	530
430	400	529
431	401	527
432	401	526
433	402	524
434	403	523
435	403	522
436	404	521
437	405	520
438	405	518
439	406	517
440	406	515
441	407	514
442	407	512
443	408	511
444	409	510
445	410	509
446	411	508
447	411	507
448	412	505
449	412	504
450	413	502
451	413	501
452	414	500
453	414	498
454	415	497
455	415	496
456	416	494
457	416	493
458	417	491
459	417	490
460	418	489
461	418	487
462	419	486
463	419	485
464	420	483
465	421	482
466	421	481
467	422	480
468	422	478
469	423	477
470	424	476
471	425	475
472	425	474
473	426	473
474	427	471
475	427	470
476	428	469
477	428	467
478	429	466
479	429	465
480	430	464
481	430	462
482	431	461
483	431	460
484	432	458
485	432	457
486	433	456
487	433	455
488	434	453
489	434	452
490	435	451
491	435	450
492	436	448
493	436	447
494	437	446
495	437	444
496	438	443
497	439	443
498	440	442
499	441	441
500	441	440
501	442	438
502	442	437
503	443	436
504	443	435
505	444	433
506	444	432
507	445	431
508	446	430
509	446	429
510	447	427
511	447	426
512	448	425
513	448	424
514	449	423
515	450	422
516	450	420
517	451	419
518	451	418
519	452	417
520	452	416
521	453	414
522	453	413
523	454	412
524	455	412
525	456	411
526	456	410
527	457	409
528	458	408
529	459	407
530	459	406
531	460	405
532	461	404
533	461	402
534	462	401
535	462	400
536	463	399
537	463	398
538	464	397
539	464	396
540	465	394
541	465	393
542	466	392
543	467	391
544	467	390
545	468	389
546	469	388
547	469	387
548	470	386
549	471	385
550	472	384
551	472	383
552	473	382
553	473	381
554	474	380
555	474	379
556	475	378
557	475	376
558	476	375
559	477	374
560	477	373
561	478	372
562	478	371
